BENE_STATE_DESC,BENE_STATE_ABRVTN,BENE_COUNTY_DESC,BENE_FIPS_CD,BENE_GEO_LVL,YEAR,MONTH,TOT_BENES
California,CA,Sierra County,06091,County,2024,Year,878
California,CA,Siskiyou County,06093,County,2024,Year,13994
California,CA,Solano County,06095,County,2024,Year,88973
California,CA,Sonoma County,06097,County,2024,Year,117640
California,CA,Stanislaus County,06099,County,2024,Year,93301
California,CA,Sutter County,06101,County,2024,Year,18378
California,CA,Tehama County,06103,County,2024,Year,14837
California,CA,Trinity County,06105,County,2024,Year,3626
California,CA,Tulare County,06107,County,2024,Year,68412
California,CA,Tuolumne County,06109,County,2024,Year,16418
California,CA,Ventura County,06111,County,2024,Year,169916
California,CA,Yolo County,06113,County,2024,Year,35812
California,CA,Yuba County,06115,County,2024,Year,13827
California,CA,Unknown,06999,County,2024,Year,*
Texas,TX,Anderson County,48001,County,2020,Year,10518
Texas,TX,Andrews County,48003,County,2020,Year,2179
Texas,TX,Angelina County,48005,County,2020,Year,17703
Texas,TX,Aransas County,48007,County,2020,Year,7394
Texas,TX,Archer County,48009,County,2020,Year,1925
Texas,TX,Armstrong County,48011,County,2020,Year,448
Texas,TX,Atascosa County,48013,County,2020,Year,9033
Texas,TX,Austin County,48015,County,2020,Year,6760
Texas,TX,Bailey County,48017,County,2020,Year,1089
Texas,TX,Bandera County,48019,County,2020,Year,6873
Texas,TX,Bastrop County,48021,County,2020,Year,15932
Texas,TX,Baylor County,48023,County,2020,Year,983
Texas,TX,Bee County,48025,County,2020,Year,4907
Texas,TX,Bell County,48027,County,2020,Year,53810
Texas,TX,Bexar County,48029,County,2020,Year,301645
Texas,TX,Blanco County,48031,County,2020,Year,3418
Texas,TX,Borden County,48033,County,2020,Year,132
Texas,TX,Bosque County,48035,County,2020,Year,5144
Texas,TX,Bowie County,48037,County,2020,Year,19667
Texas,TX,Brazoria County,48039,County,2020,Year,50818
Texas,TX,Brazos County,48041,County,2020,Year,24777
Texas,TX,Brewster County,48043,County,2020,Year,2234
Texas,TX,Briscoe County,48045,County,2020,Year,399
Texas,TX,Brooks County,48047,County,2020,Year,1576
Texas,TX,Brown County,48049,County,2020,Year,9197
Texas,TX,Burleson County,48051,County,2020,Year,4535
